Tabla: clients
dni	nom	telefon	adreca
74	76082720O	Jaime	Rubio	posuere@lasso.cat	+34 641696631	Ap #224-5741 Et, St.	Repartidor
75	49507383K	Oscar	Cabrera	sed.eu.nibh@lasso.com	+34 654296625	993-7401 Egestas. Street	Gerent
76	61543933L	Maxwell	Navarro	lacus@lasso.es	+34 635754140	866-2187 Sagittis Avenue	Neteja
77	18651232A	Ciara	Marquez	id.ante@lasso.cat	+34 643967650	Ap #362-7592 Mauris Rd.	Neteja
78	58894659E	Kyla	Redondo	eleifend.vitae@lasso.cat	+34 668131127	P.O. Box 453, 3311 Elit St.	Gerent
79	23075487O	Ori	Campos	vel.convallis@lasso.cat	+34 631823373	Ap #218-6407 Auctor Ave	Neteja
80	21391233A	Tatyana	Herrero	amet.risus@gmail.es	+34 635411118	P.O. Box 449, 3018 Donec Avenue	Cuiner
81	88726885N	Thaddeus	Gonzalez	magna@lasso.es	+34 683848167	Ap #330-9129 Sed Road	Cambrer
82	56649676X	Olivia	Marti	a.felis.ullamcorper@gmail.es	+34 665644063	2343 Eget Avenue	Cambrer
83	93569877V	Chadwick	Marquez	varius.orci@gmail.cat	+34 682565781	2029 Eu Avenue	Neteja
84	15609775A	Brody	Prieto	fringilla.ornare.placerat@outlook.es	+34 600843632	141-6883 Neque. Road	Cambrer
85	90181172Z	Bianca	Nuñez	tristique@gmail.es	+34 686276860	Ap #389-8651 Justo Ave	Neteja
86	03539946S	Noble	Bravo	mi.felis@lasso.cat	+34 695083504	2600 Mauris St.	Cambrer
87	00340245Y	Richard	Ortiz	eget.ipsum.donec@outlook.cat	+34 687524287	Ap #610-6255 Luctus St.	Neteja
88	90804186A	Nolan	Ramos	egestas.fusce@lasso.com	+34 629432800	934-3036 Orci St.	Cuiner
89	87409963Z	Jerome	Santos	facilisis.facilisis@gmail.cat	+34 658623422	P.O. Box 696, 8267 Ac Avenue	Cuiner
90	83793169S	Yuli	Muñoz	tellus.nunc@gmail.com	+34 645334828	321-739 Justo. Street	Neteja
91	94440543Y	Stacey	Torres	morbi.non@outlook.com	+34 664115695	567-7671 Et St.	Gerent
92	82242844C	Rigel	Pardo	et.netus.et@lasso.cat	+34 617496389	Ap #886-3638 Metus Street	Neteja
93	40254897D	Zeph	Garcia	porta.elit.a@lasso.cat	+34 602327861	P.O. Box 545, 188 Dictum Road	Neteja
94	35812446Q	Carson	Izquierdo	egestas@outlook.com	+34 638525414	259-9981 Lacus. St.	Gerent
95	08609132Z	Amela	Aguilar	gravida.sagittis@lasso.cat	+34 653166585	Ap #593-3482 Quisque Rd.	Neteja
96	96523575F	Diana	Pascual	enim.nec.tempus@lasso.cat	+34 641823487	8515 Fermentum St.	Repartidor
97	31222438J	Flavia	Vidal	dignissim@lasso.cat	+34 689975605	Ap #219-4174 Cursus Rd.	Gerent
98	35370940Y	Arsenio	Moreno	turpis.vitae.purus@outlook.com	+34 658852503	362-6175 Id St.	Repartidor
99	47266920P	Rhea	Serrano	pellentesque@outlook.cat	+34 697475284	3093 A Av.	Gerent
100	48700088N	Melvin	Iba	donec.fringilla.donec@lasso.cat	+34 667573524	8324 Ullamcorper. Avenue	Cambrer

Tabla: llista_negra

Tabla: tiquets

Tabla: horari
id	nom_horari	hora_inici	hora_fi
1	matins	NULL	NULL
2	matins	NULL	NULL
3	migdia	NULL	NULL
4	migdia	NULL	NULL
5	migidia	NULL	NULL
6	nit	NULL	NULL
7	nit	NULL	NULL

Tabla: categoria
id	nom_categoria
1	Amanides
2	Carns
3	Marisc
4	Pasta
5	Pizza
6	Kebab
7	Entrants
8	Coctels
9	Postres
10	Begudes
11	Cafes
12	Hamburgueses
13	Torrades
14	Entrepans Calents
15	Entrepans Freds
16	Plats combinats

Tabla: inventari
id	nom_producte	estoc	preu	id_categoria
1	Ensalada Cesar	23	1.00	13
2	Ensalada Mixta	15	1.00	10
3	Ensalada Griega	20	1.00	12
4	Ensalada de Pollo	18	1.00	13
5	Ensalada de Atún	25	1.00	12
6	Ensalada Caprese	22	1.00	11
7	Ensalada de Quinoa	19	1.00	13
8	Ensalada Waldorf	17	1.00	14
9	Pollo Asado	30	2.00	15
14	Albóndigas de Ternera	18	2.00	15
16	Pechuga de Pavo	20	2.00	13
25	Espaguetis Carbonara	20	4.00	13
26	Macarrones con Queso	15	4.00	11
27	Lasaña Boloñesa	12	4.00	14
28	Fettuccine Alfredo	18	4.00	14
29	Raviolis de Espinacas	14	4.00	15
30	Penne all'Arrabbiata	16	4.00	12
31	Tortellini de Carne	10	4.00	15
32	Canelones de Pollo	12	4.00	13
33	Pizza Margherita	30	5.00	10
34	Pizza Pepperoni	28	5.00	11
35	Pizza Cuatro Quesos	25	5.00	13
36	Pizza Hawaiana	22	5.00	12
37	Pizza Vegetariana	20	5.00	11
38	Pizza Barbacoa	18	5.00	13
39	Pizza de Atún	15	5.00	12
40	Pizza de Jamón	12	5.00	11
41	Kebab de Pollo	12	6.00	9
42	Kebab de Ternera	10	6.00	9
43	Kebab Vegetal	8	6.00	8
44	Durum de Pollo	14	6.00	9
45	Durum de Ternera	11	6.00	9
46	Kebab Mixto	9	6.00	10
47	Shawarma	13	6.00	10
48	Falafel	15	6.00	8
49	Patatas Bravas	25	7.00	6
50	Croquetas de Jamón	18	7.00	6
51	Calamares a la Romana	15	7.00	7
52	Empanadillas de Atún	20	7.00	7
53	Nachos con Queso	22	7.00	8
54	Palitos de Mozzarella	18	7.00	8
55	Mini Hamburguesas	12	7.00	9
56	Alitas de Pollo	16	7.00	7
57	Mojito	35	8.00	5
58	Margarita	30	8.00	6
59	Piña Colada	25	8.00	7
60	Tequila Sunrise	22	8.00	8
61	Daikiri de Fresa	28	8.00	8
62	Cosmopolitan	24	8.00	7
63	Manhattan	20	8.00	9
64	Martini	18	8.00	7
65	Tarta de Chocolate	20	9.00	6
66	Flan de Huevo	22	9.00	5
67	Tiramisu	18	9.00	5
68	Helado de Vainilla	25	9.00	4
69	Brownie	15	9.00	6
70	Panna Cotta	12	9.00	6
71	Cheesecake	10	9.00	5
72	Profiteroles	8	9.00	7
73	Agua Mineral	40	10.00	1
74	Refresco de Cola	38	10.00	2
75	Zumo de Naranja	35	10.00	2
76	Cerveza	45	10.00	3
77	Vino Tinto	25	10.00	4
78	Vino Blanco	20	10.00	5
79	Refresco de Limón	30	10.00	2
80	Tónica	22	10.00	2
81	Café Espresso	50	11.00	1
82	Café con Leche	45	11.00	2
83	Café Americano	30	11.00	2
84	Cappuccino	35	11.00	2
85	Café Mocha	28	11.00	3
86	Café Latte	32	11.00	3
87	Carajillo	20	11.00	3
88	Mocaccino	25	11.00	3
89	Hamburguesa Clásica	20	12.00	7
90	Hamburguesa BBQ	18	12.00	7
91	Hamburguesa de Pollo	15	12.00	6
92	Hamburguesa Vegana	12	12.00	8
93	Hamburguesa con Queso	14	12.00	7
94	Hamburguesa Doble	10	12.00	9
95	Hamburguesa de Pavo	8	12.00	6
96	Hamburguesa Picante	9	12.00	8
97	Tostada con Tomate	15	13.00	4
98	Tostada con Aguacate	12	13.00	5
99	Tostada con Jamón	10	13.00	5
100	Tostada con Mermelada	8	13.00	3
101	Tostada Francesa	11	13.00	4
102	Tostada con Huevo	13	13.00	5
103	Tostada con Mantequilla	9	13.00	4
104	Tostada con Queso	14	13.00	5
105	Bocadillo de Jamón Caliente	10	14.00	7
106	Bocadillo de Queso Fundido	8	14.00	6
107	Bocadillo de Pollo	12	14.00	8
108	Bocadillo de Lomo	14	14.00	8
109	Bocadillo de Tortilla	16	14.00	6
110	Bocadillo de Bacon	15	14.00	7
111	Bocadillo de Atún	18	14.00	7
112	Bocadillo de Pavo	20	14.00	8
113	Bocadillo de Atún	14	15.00	7
114	Bocadillo de Jamón y Queso	16	15.00	8
115	Bocadillo Vegetal	10	15.00	5
116	Bocadillo de Tortilla	12	15.00	6
117	Bocadillo de Huevo	14	15.00	6
118	Bocadillo de Ensalada	9	15.00	5
119	Bocadillo de Queso Fresco	13	15.00	6
120	Bocadillo de Tomate	11	15.00	4
121	Plato Combinado de Pollo	10	16.00	13
122	Plato Combinado de Ternera	12	16.00	15
123	Plato Combinado de Cerdo	15	16.00	13
124	Plato Combinado de Pescado	8	16.00	15
125	Plato Combinado de Ensalada	14	16.00	12
126	Plato Combinado de Vegetales	16	16.00	13
127	Plato Combinado de Patatas	12	16.00	14
128	Plato Combinado de Arroz	10	16.00	12

Tabla: carta
id	nom_carta
1	Esmorzar
2	Dinar
3	Sopar
4	Coctels
5	Postres
6	Cafes
7	Begudes
8	Vins

Tabla: carta_inventari_rel

Tabla: taules
id	capacitat
1	2
2	4
3	4
4	4
5	6
6	8
7	6
8	2
9	4
10	6
11	4
12	4
13	2
14	2
15	8

Tabla: reserves
id	quantitat_persones	data	hora	client_id	taula_id	assistencia
1	2	2024-05-20	12:30:00	59427156Z	1	1
2	4	2024-05-20	13:00:00	76362265O	2	1
3	3	2024-05-20	14:45:00	87835441Y	3	1
4	4	2024-05-20	15:15:00	42347392C	4	1
5	5	2024-05-20	16:00:00	02727727Q	5	1
6	6	2024-05-20	17:30:00	61072232T	6	1
7	6	2024-05-20	18:00:00	40861865M	7	1
8	2	2024-05-20	19:00:00	77962234C	8	1
9	4	2024-05-20	20:15:00	09687548T	9	1
10	6	2024-05-20	21:30:00	44517526W	10	1
11	4	2024-05-20	22:45:00	28615291C	11	1
12	4	2024-05-20	23:00:00	16554723W	12	1
13	2	2024-05-21	00:15:00	27435570Y	13	0
14	2	2024-05-21	00:30:00	97471829M	14	0
15	8	2024-05-21	01:00:00	78438241Y	15	0
16	2	2024-05-21	12:45:00	37059671Y	1	0
17	4	2024-05-21	13:30:00	99334522Q	2	0
18	4	2024-05-21	14:15:00	99711157V	3	0
19	4	2024-05-21	15:00:00	60156643Q	4	0
20	6	2024-05-21	16:30:00	17126467E	5	0
21	8	2024-05-21	17:45:00	23534419I	6	0
22	6	2024-05-21	18:15:00	60609718O	7	0
23	2	2024-05-21	19:45:00	88286654D	8	0
24	4	2024-05-21	20:00:00	28618721M	9	0
25	6	2024-05-21	21:15:00	94543270Q	10	0
26	4	2024-05-21	22:30:00	16275641I	11	0
27	4	2024-05-21	23:45:00	76848628B	12	0
28	2	2024-05-22	00:00:00	73421768Z	13	0
29	2	2024-05-22	00:45:00	24125376H	14	0
30	8	2024-05-22	01:00:00	89195121Q	15	0
31	2	2024-05-22	12:15:00	48868652C	1	0
32	4	2024-05-22	13:00:00	52352688R	2	0
33	4	2024-05-22	14:30:00	14877126M	3	0
34	4	2024-05-22	15:45:00	98228247C	4	0
35	6	2024-05-22	16:00:00	01341585O	5	0
36	8	2024-05-22	17:30:00	85699752O	6	0
37	6	2024-05-22	18:00:00	26655464V	7	0
38	2	2024-05-22	19:15:00	34651113V	8	0
39	4	2024-05-22	20:00:00	54664061F	9	0
40	6	2024-05-22	21:30:00	59628168I	10	0
41	4	2024-05-22	22:00:00	86143440W	11	0
42	4	2024-05-22	23:15:00	15184503W	12	0
43	2	2024-05-23	00:30:00	47251156V	13	0
44	2	2024-05-23	00:45:00	73635513M	14	0
45	8	2024-05-23	01:00:00	73237237V	15	0
46	2	2024-05-23	12:45:00	23711575I	1	0
47	4	2024-05-23	13:30:00	45349188V	2	0
48	4	2024-05-23	14:15:00	38367852T	3	0
49	4	2024-05-23	15:00:00	61084606O	4	0
50	6	2024-05-23	16:30:00	80364339O	5	0
57	6	2024-06-01	18:00:00	40861865M	7	0
58	2	2024-06-01	19:00:00	77962234C	8	0
59	4	2024-06-01	20:15:00	09687548T	9	0
60	6	2024-06-01	21:30:00	44517526W	10	0
61	4	2024-06-01	22:45:00	28615291C	11	0
62	4	2024-06-01	23:00:00	16554723W	12	0
63	2	2024-06-02	00:15:00	27435570Y	13	0
64	2	2024-06-02	00:30:00	97471829M	14	0
65	8	2024-06-02	01:00:00	78438241Y	15	0
66	2	2024-06-02	12:45:00	37059671Y	1	0
67	4	2024-06-02	13:30:00	99334522Q	2	0
68	4	2024-06-02	14:15:00	99711157V	3	0
69	4	2024-06-02	15:00:00	60156643Q	4	0
70	6	2024-06-02	16:30:00	17126467E	5	0
71	8	2024-06-02	17:45:00	23534419I	6	0
72	6	2024-06-02	18:15:00	60609718O	7	0
73	2	2024-06-02	19:45:00	88286654D	8	0
74	4	2024-06-02	20:00:00	28618721M	9	0
75	6	2024-06-02	21:15:00	94543270Q	10	0
76	4	2024-06-02	22:30:00	16275641I	11	0
77	4	2024-06-02	23:45:00	76848628B	12	0
78	2	2024-06-03	00:00:00	73421768Z	13	0
79	2	2024-06-03	00:45:00	24125376H	14	0
80	8	2024-06-03	01:00:00	89195121Q	15	0
81	2	2024-06-03	12:15:00	48868652C	1	0
82	4	2024-06-03	13:00:00	52352688R	2	0
83	4	2024-06-03	14:30:00	14877126M	3	0
84	4	2024-06-03	15:45:00	98228247C	4	0
85	6	2024-06-03	16:00:00	01341585O	5	0
86	8	2024-06-03	17:30:00	85699752O	6	0
87	6	2024-06-03	18:00:00	26655464V	7	0
88	2	2024-06-03	19:15:00	34651113V	8	0
89	4	2024-06-03	20:00:00	54664061F	9	0
90	6	2024-06-03	21:30:00	59628168I	10	0
91	4	2024-06-03	22:00:00	86143440W	11	0
92	4	2024-06-03	23:15:00	15184503W	12	0
93	2	2024-06-04	00:30:00	47251156V	13	0
94	2	2024-06-04	00:45:00	73635513M	14	0
95	8	2024-06-04	01:00:00	73237237V	15	0
96	2	2024-06-04	12:45:00	23711575I	1	0
97	4	2024-06-04	13:30:00	45349188V	2	0
98	4	2024-06-04	14:15:00	38367852T	3	0
99	4	2024-06-04	15:00:00	61084606O	4	0
100	6	2024-06-04	16:30:00	80364339O	5	0

Tabla: comandes_domicili

Tabla: carta_horari_rel

Tabla: detall_comandes

